id	label	description	transformer_type	tier	transformer_model	vae_model	clip_tokenizer	clip_encoder	t5_tokenizer	t5_encoder	t5_encoder_config	qwen3_tokenizer	qwen3_encoder	steps	cfg_scale	sampler	scheduler	vram_estimate_gb	is_default	source	fal_endpoint	fal_aspectratio	favorite	hidden
"flux1_kontext_performance"	"FLUX.1 Kontext - Fast"	"FLUX.1-Kontext Q4 quantized - lower VRAM, faster inference"	"flux1_kontext"	"performance"	"bullerwins/FLUX.1-Kontext-dev-GGUF/flux1-kontext-dev-Q4_K_S.gguf"	"black-forest-labs/FLUX.1-Kontext-dev"	"openai/clip-vit-large-patch14"	"openai/clip-vit-large-patch14"	"google/t5-v1_1-xxl"	"google/t5-v1_1-xxl"	"{""load_in_4bit"": true, ""bnb_4bit_quant_type"": ""nf4""}"	(null)	(null)	28	3.5	"euler"	"normal"	11.0	1	"local"	(null)	(null)	1	0
"flux1_kontext_quality"	"FLUX.1 Kontext - Quality"	"FLUX.1-Kontext BF16 full precision - best quality"	"flux1_kontext"	"quality"	"black-forest-labs/FLUX.1-Kontext-dev"	"black-forest-labs/FLUX.1-Kontext-dev"	"openai/clip-vit-large-patch14"	"openai/clip-vit-large-patch14"	"google/t5-v1_1-xxl"	"google/t5-v1_1-xxl"	(null)	(null)	(null)	40	4.0	"euler"	"normal"	33.7	1	"local"	(null)	(null)	0	0
